school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Arkansas Tech University,10780,6729,Arkansas,Town,public,89.63,43.66,99.82,2,0,4,1,0,2,3,0,6,1.4839026525667798,0.7803967977840724
Armstrong State University,6283,4513,Georgia,Midsize City,public,89.88,53.84,99.97,2,1,6,1,0,3,3,1,9,1.865258652234057,0.42434231128445477
Asbury University,1731,1325,Kentucky,Town,NA,76.62,48.75,96.55,1,0,2,0,0,1,1,0,3,0.4578997615236963,0.993415090960322
Ashford University,31543,31545,California,Large City,private,100.0,100.0,100.0,30,14,74,15,7,39,45,21,113,3.5283810672161695,41.59696999675687
Ashland University,4812,3380,Ohio,Town,NA,82.24,59.21,97.08,1,1,2,1,0,1,2,1,3,1.3983388465466817,0.32898476988583447
Assumption College,2085,1937,Massachusetts,Midsize City,private,88.29,67.37,98.61,1,1,3,1,0,1,2,1,4,1.5946530185052303,0.5488578774675794
Point University,1925,1119,Georgia,Town,NA,58.8,27.87,94.19,1,0,2,0,0,1,1,0,3,0.5376206243198278,0.348372147748615
Auburn University,23968,21762,Alabama,Small City,public,100.0,100.0,100.0,17,8,40,8,4,20,25,12,60,7.798456269061135,17.281132147300085
Auburn University at Montgomery,4312,3239,Alabama,Midsize City,NA,93.2,66.06,99.81,2,1,4,1,0,2,3,1,6,2.347034837479978,0.33972069622360795
Augsburg University,2428,2033,Minnesota,Large City,NA,41.08,27.1,64.08,0,0,1,0,0,0,0,0,1,0.2383668161686342,0.2901209545173759
AugustaNA College,2650,2637,Illinois,Small City,NA,63.22,49.93,82.48,1,0,1,0,0,1,1,0,2,0.8148901886165226,0.18482158538825055
AugustaNA University,1746,1679,South Dakota,Midsize City,NA,38.91,22.75,62.86,0,0,1,0,0,0,0,0,1,0.2548184707779129,0.23773626085352584
Aurora University,3935,3461,Illinois,Suburb,private,82.79,69.36,95.66,1,1,2,1,0,1,2,1,3,1.2075829605446573,0.5511949995983925
Austin College,1218,1204,Texas,Small City,NA,99.8,90.89,100.0,4,2,10,2,1,6,6,3,16,6.090641661837355,0.10661803171959128
Austin Peay State University,9591,7065,Tennessee,Midsize City,NA,93.22,44.38,99.98,2,0,6,1,0,3,3,0,9,2.2261118408680853,0.4644347470838018
Ave Maria University,1071,1035,Florida,Rural,NA,94.56,77.52,99.96,2,1,5,1,0,3,3,1,8,2.24901448395515,0.655495230640707
Averett University,929,890,Virginia,Town,NA,73.07,41.36,93.81,1,0,2,0,0,1,1,0,3,0.7243530244295139,0.5859075676439196
Averett University - Non - TraditioNAl Programs,344,87,Virginia,Town,NA,39.21,13.98,65.69,0,0,1,0,0,0,0,0,1,0.4973601604865325,0.0
Avila University,1274,1077,Missouri,Large City,NA,55.04,30.85,85.43,1,0,1,0,0,1,1,0,2,0.20297686669650014,0.595237834757699
Azusa Pacific University,5674,5075,California,Suburb,private,100.0,99.85,100.0,8,4,16,4,2,8,12,6,24,10.02977176775983,1.4441268114386012
Bacone College,936,864,Oklahoma,Town,private,78.45,48.15,97.64,1,0,2,1,0,1,2,0,3,0.2691161364133783,1.2625501747161751
Baker University,1774,1062,Kansas,Town,NA,61.33,33.39,90.82,1,0,2,0,0,1,1,0,3,0.05696818735298211,0.8916638143181129
Baldwin Wallace University,3191,2958,Ohio,Suburb,NA,75.19,51.91,94.29,1,0,2,0,0,1,1,0,3,0.8378735907270288,0.5552585665769977
Ball State University,17000,15203,IndiaNA,Small City,NA,99.96,99.48,100.0,5,3,8,3,2,4,8,5,12,6.604783931796632,1.1250835175496066
Bard College,1941,1862,New York,Town,NA,87.36,68.04,98.41,1,1,3,1,0,1,2,1,4,0.4157654652687711,1.6503713597028762
BarNArd College,2549,2514,New York,Large City,NA,95.4,80.82,99.81,2,1,4,1,1,2,3,2,6,0.6609792520029935,2.4156862974531075
