school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Francis Marion University,3462,3006,South CaroliNA,Suburb,public,100.0,100.0,100.0,34,17,68,18,9,37,52,26,105,51.68718831667112,0.6093169905359065
Franciscan University of Steubenville,2201,2011,Ohio,Small City,NA,99.99,98.75,100.0,6,3,12,3,1,6,9,4,18,0.8995952347433782,8.036043055060412
Franklin and Marshall College,2281,2263,Pennsylvania,Small City,NA,99.97,98.77,100.0,5,3,11,3,1,5,8,4,16,1.3165384695826317,6.7353631325960714
Franklin College,1017,962,IndiaNA,Suburb,private,95.24,81.9,99.68,2,1,4,1,1,2,3,2,6,2.703010956745375,0.3366041548530785
Franklin Pierce University,1712,1563,New Hampshire,Rural,NA,99.01,91.22,99.98,3,2,6,1,1,3,4,3,9,0.28050400895106126,4.326502427548313
Welch College,344,222,Tennessee,Rural,private,70.43,40.5,94.16,1,0,2,0,0,1,1,0,3,0.521671052265123,0.6930691862873548
Freed - Hardeman University,1469,1261,Tennessee,Town,NA,99.89,94.46,100.0,5,2,10,2,1,5,7,3,15,3.0064726433174194,3.778955623787174
Fresno Pacific University,2803,2342,California,Large City,private,100.0,100.0,100.0,14,7,28,6,3,13,20,10,41,20.07448333489328,0.34132181489130636
Friends University,1149,906,Kansas,Large City,NA,94.3,73.04,99.81,2,1,4,1,0,2,3,1,6,0.6368203460493311,2.2105741746190652
Frostburg State University,4726,3849,Maryland,Suburb,public,100.0,99.91,100.0,9,5,16,4,2,8,13,7,24,12.13281530966556,0.8902800409968815
Full Sail University,16908,16908,Florida,Suburb,NA,100.0,100.0,100.0,83,41,174,40,19,89,123,60,263,57.036712566572476,65.94366624996722
Furman University,2732,2658,South CaroliNA,Suburb,NA,100.0,100.0,100.0,15,7,30,7,3,16,22,10,46,11.938616866622404,9.942195815834555
Gallaudet University,1125,1074,District of Columbia,Large City,NA,99.76,94.53,100.0,4,2,8,2,1,4,6,3,12,0.07136700402263328,5.921886968616685
Gannon University,3074,2530,Pennsylvania,Small City,private,99.92,98.07,100.0,5,3,9,2,1,4,7,4,13,4.63165260649086,2.4482270958505747
Gardner - Webb University,2218,1781,North CaroliNA,Town,NA,99.97,98.05,100.0,6,3,12,3,1,6,9,4,18,2.026815596466742,6.174957847125021
Geneva College,1412,1247,Pennsylvania,Suburb,NA,97.58,86.89,99.93,3,1,5,1,1,2,4,2,7,2.039911255067594,1.6741571245881954
George Fox University,2700,2494,Oregon,Town,private,99.94,98.65,100.0,5,3,9,2,1,5,7,4,14,2.3156562231652953,5.051118898193543
George Mason University,25006,20221,Virginia,Suburb,NA,100.0,100.0,100.0,83,38,156,43,18,84,126,56,240,103.32576572005335,22.8233586259276
George Washington University,11996,10893,District of Columbia,Large City,NA,100.0,100.0,100.0,37,19,74,18,9,37,55,28,111,0.40738664796253166,54.24472174575449
Georgetown College,1059,976,Kentucky,Town,private,94.71,72.26,99.92,2,1,5,1,0,2,3,1,7,2.3541829038862163,0.5805290910323583
Georgetown University,7465,6987,District of Columbia,Large City,private,100.0,100.0,100.0,24,12,48,11,6,24,35,18,72,0.33007239360467894,34.73611182672137
Georgia College & State University,5987,5442,Georgia,Town,NA,100.0,99.28,100.0,12,4,37,6,1,19,18,5,56,17.872354202241098,0.05105076236844129
Georgia Gwinnett College,12290,8289,Georgia,Suburb,public,100.0,100.0,100.0,26,8,77,12,3,39,38,11,116,36.3941224804846,0.9109110889839535
Georgia Institute of Technology - Main Campus,15576,13974,Georgia,Large City,NA,100.0,100.0,100.0,46,18,117,22,8,59,68,26,176,32.267200771695165,35.49017160526715
