school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Angelo State University,8721,5332,Texas,Midsize City,NA,100.0,100.0,100.0,35,13,81,15,6,34,50,19,115,48.90182318201263,0.5123802458954755
AnNA Maria College,1121,866,Massachusetts,Rural,NA,98.26,84.88,99.99,3,1,6,1,1,3,4,2,9,3.7335769877463236,0.3084949548768427
Antioch University - Seattle,90,17,Washington,Large City,NA,28.43,13.29,55.88,0,0,1,0,0,0,0,0,1,0.017266464663794612,0.3163969679961289
Appalachian State University,17014,16071,North CaroliNA,Town,public,100.0,100.0,100.0,18,7,47,9,3,25,27,10,72,15.268542468552875,12.620615902736391
AquiNAs College Michigan,1553,1317,Michigan,Midsize City,NA,99.41,82.55,100.0,3,1,9,2,1,5,5,2,14,4.87373037491789,0.2545011097058903
Arcadia University,2387,2177,Pennsylvania,Suburb,NA,99.83,94.94,100.0,4,2,10,2,1,5,6,3,15,2.5346456004879787,3.8567390400538053
ArizoNA Christian University,784,646,ArizoNA,Large City,NA,98.13,87.73,99.97,3,1,5,1,1,3,4,2,8,3.2936869452138025,0.6731408802994154
ArizoNA State University - Tempe,42429,38814,ArizoNA,Midsize City,NA,100.0,100.0,100.0,136,70,290,69,35,147,205,105,437,144.1418751439259,60.389437381118306
Arkansas Baptist College,597,496,Arkansas,Midsize City,NA,88.47,54.84,99.57,1,1,4,1,0,2,2,1,6,0.3999662433705141,1.7508307037027007
Arkansas State University - Main Campus,9608,6894,Arkansas,Small City,public,100.0,97.33,100.0,9,3,24,4,1,12,13,4,36,9.94003063959069,2.9879006616339794
Arkansas Tech University,10780,6729,Arkansas,Town,public,100.0,97.72,100.0,9,3,25,4,1,13,13,4,38,11.989712721559005,1.8480527031823375
Armstrong State University,6283,4513,Georgia,Midsize City,public,100.0,95.78,100.0,11,2,47,6,1,26,17,3,73,14.736567518305105,2.3224607602859204
Asbury University,1731,1325,Kentucky,Town,NA,99.41,85.13,100.0,3,1,9,2,1,5,5,2,14,2.1022293737733273,3.011207252558719
Ashford University,31543,31545,California,Large City,private,100.0,100.0,100.0,100,39,261,50,19,132,150,58,393,8.82685332956274,140.93201676671035
Ashland University,4812,3380,Ohio,Town,NA,99.99,97.95,100.0,6,3,15,3,1,8,9,4,23,8.694575289805307,1.150895472845188
Assumption College,2085,1937,Massachusetts,Midsize City,private,99.9,95.72,100.0,4,2,10,2,1,5,6,3,15,5.198385095678365,1.6519876911818292
Point University,1925,1119,Georgia,Town,NA,99.85,78.11,100.0,4,1,16,2,0,9,6,1,25,4.24749812581399,2.2140567322433027
Auburn University,23968,21762,Alabama,Small City,public,100.0,100.0,100.0,75,27,192,38,13,102,113,40,294,56.973081050300294,56.83216348577931
Auburn University at Montgomery,4312,3239,Alabama,Midsize City,NA,100.0,99.86,100.0,12,4,30,6,2,16,18,6,46,17.146702040777566,1.2968843359520497
Augsburg University,2428,2033,Minnesota,Large City,NA,82.71,50.35,98.95,1,0,3,1,0,2,2,0,5,0.6979479981954346,1.0521198998349477
