school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
University of New Orleans,6468,4737,LouisiaNA,Large City,NA,100.0,100.0,100.0,25,9,65,13,5,35,38,14,100,36.024270970680554,2.0868687455220267
University of North Alabama,6061,5141,Alabama,Small City,public,100.0,99.99,100.0,18,6,43,9,3,23,27,9,66,22.879696936579005,3.8848052931800083
University of North CaroliNA at Asheville,3820,3285,North CaroliNA,Small City,NA,99.82,90.54,100.0,4,2,11,2,1,6,6,3,17,3.2044050852578687,3.0846602809781176
University of North CaroliNA at Chapel Hill,18863,18303,North CaroliNA,Small City,public,100.0,100.0,100.0,25,9,63,13,5,34,38,14,97,15.510990919983868,22.102473400624802
University of North CaroliNA at Charlotte,23915,20597,North CaroliNA,Large City,public,100.0,100.0,100.0,22,8,56,11,4,30,33,12,86,21.542987709391095,11.410504269062658
University of North CaroliNA at Greensboro,16441,14136,North CaroliNA,Large City,NA,100.0,99.98,100.0,15,6,39,8,3,21,23,9,60,15.083471780467615,7.827499606060807
University of North CaroliNA at Pembroke,5478,4483,North CaroliNA,Town,NA,99.89,92.14,100.0,4,2,12,2,1,6,6,3,18,5.214739271541273,1.5808171135966833
University of North CaroliNA at Wilmington,14499,12346,North CaroliNA,Midsize City,NA,100.0,99.99,100.0,16,6,39,8,3,21,24,9,60,11.911876303591226,11.949976137037245
University of North Dakota,10999,8525,North Dakota,Small City,public,100.0,100.0,100.0,49,9,186,27,5,107,76,14,293,65.5810554050996,10.273689382673613
University of North Florida,14251,10223,Florida,Large City,NA,100.0,100.0,100.0,135,58,311,72,30,172,207,88,483,206.17160574838056,1.5305851366583587
University of North Texas,31444,25592,Texas,Midsize City,NA,100.0,100.0,100.0,517,156,1387,284,83,744,801,239,2131,796.9794788939855,3.961743294188561
University of Northern Colorado,10103,8328,Colorado,Midsize City,NA,100.0,97.19,100.0,8,2,29,4,1,15,12,3,44,7.086796323954585,5.0532018307127196
University of Northern Iowa,9959,9100,Iowa,Small City,NA,100.0,99.28,100.0,18,3,69,9,2,39,27,5,108,26.263995939969778,0.7279434029274532
University of Notre Dame,8577,8557,IndiaNA,Suburb,private,100.0,100.0,100.0,26,10,67,14,5,36,40,15,103,1.5459322198275514,38.601934222090236
University of Oklahoma Norman Campus,22028,19065,Oklahoma,Suburb,NA,100.0,100.0,100.0,132,40,367,72,21,200,204,61,567,48.428608051441174,156.26828358465977
University of Oregon,19336,17801,Oregon,Midsize City,NA,100.0,100.0,100.0,49,22,128,26,11,68,75,33,196,18.905662244070644,55.394671585352874
University of Pennsylvania,11719,10496,Pennsylvania,Large City,NA,100.0,100.0,100.0,37,15,91,19,8,49,56,23,140,3.838330819212347,52.206045587789205
University of Phoenix - New Mexico,216,217,New Mexico,Large City,private,99.05,74.1,100.0,3,1,8,2,0,4,5,1,12,0.1835993451965775,4.409083341798395
