 ,University of Phoenix - Utah,University of Pittsburgh - Bradford,University of Pittsburgh - Greensburg,University of Pittsburgh - Johnstown,University of Pittsburgh - Pittsburgh Campus,University of Portland,University of Puerto Rico - Mayaguez,University of Puget Sound,University of Redlands,University of Rhode Island,University of Richmond,University of Rio Grande,University of Rochester,University of Saint Francis - Fort Wayne,University of Saint Mary,University of San Diego,University of San Francisco,University of Science and Arts of Oklahoma,University of Scranton,University of Sioux Falls,University of South Alabama,University of South Carolina - Aiken,University of South Carolina - Beaufort,University of South Carolina - Columbia,University of South Carolina - Upstate,University of South Dakota,University of South Florida - Main Campus,University of South Florida - St. Petersburg,University of Southern California,University of Southern Indiana,University of Southern Maine,University of Southern Mississippi,University of St Francis,University of St Thomas Minnesota,University of St. Thomas - Houston,University of the Cumberlands,University of the District of Columbia,University of the Incarnate Word,University of the Ozarks,University of the Pacific,University of the Southwest,University of the Virgin Islands,University of the West,University of Toledo,University of Tulsa,University of Utah,University of Vermont,University of Virginia - Main Campus,University of Washington - Bothell Campus,University of Washington - Seattle Campus,University of Washington - Tacoma Campus,University of West Alabama,University of West Georgia,University of Wisconsin - Eau Claire,University of Wisconsin - Green Bay,University of Wisconsin - La Crosse,University of Wisconsin - Madison,University of Wisconsin - Milwaukee,University of Wisconsin - Oshkosh,University of Wisconsin - Parkside,University of Wisconsin - Platteville,University of Wisconsin - River Falls,University of Wisconsin - Stevens Point,University of Wisconsin - Stout,University of Wisconsin - Superior,University of Wisconsin - Whitewater,University of Wyoming,Upper Iowa University,Ursinus College,Ursuline College,Utah State University,Utah Valley University,Utica College,Valdosta State University,Valley City State University,University of Valley Forge,Valparaiso University,Vanderbilt University,Vanguard University of Southern California,Vassar College,Villanova University,Virginia Commonwealth University,Virginia Military Institute,Virginia Tech,Virginia State University,Virginia Union University,Virginia Wesleyan University,Viterbo University,Voorhees College,Wabash College,Wagner College,Wake Forest University,Walden University,Waldorf University,Walla Walla University,Walsh University,Warner Pacific College,Warner University,Warren Wilson College,Wartburg College,Washburn University,Washington Adventist University,Washington & Jefferson College,Washington and Lee University,Washington College,Washington State University,Washington University in St Louis,Wayland Baptist University,Wayne State College,Wayne State University,Waynesburg University,Webber International University,Weber State University,Webster University,Wellesley College,Wells College,Wentworth Institute of Technology,Wesley College,Wesleyan College,Wesleyan University,West Chester University of Pennsylvania,West Liberty University,West Texas A&M University,West Virginia State University,West Virginia University,West Virginia University Institute of Technology,West Virginia Wesleyan College,Western Carolina University,Western Connecticut State University,Western Governors University,Western Illinois University,Western International University,Western Kentucky University,Western Michigan University,Western New England University,Western New Mexico University,Western Oregon University,Western Colorado University,Western Washington University,Westfield State University,Westminster College Missouri,Westminster College Pennsylvania,Westminster College Utah,Westmont College,Wheaton College Illinois,Wheaton College Massachusetts,Wheeling Jesuit University,Boston University Wheelock College of Education and Human Development,Whitman College,Whittier College,Whitworth University,Wichita State University,Widener University,Wilberforce University,Wiley College,Wilkes University,Willamette University,William Carey University,William Jewell College,William Paterson University of New Jersey,William Penn University,William Woods University,Williams Baptist College,Williams College,Wilmington College,Wilmington University,Wilson College,Wingate University,Winona State University,Winston - Salem State University,Winthrop University,Wisconsin Lutheran College,Wittenberg University,Wofford College,Woodbury University,Worcester Polytechnic Institute,Worcester State University,Wright State University - Main Campus,Xavier University,Xavier University of Louisiana,Yale University,Yeshiva University,York College,York College of Pennsylvania,Youngstown State University,
Georgia,0,0,0,0,96.0,0,0,8.0,0,0,52.0,0,18.0,0,11.0,5.0,33.0,0,0,0,178.0,183.0,114.0,1136.0,52.0,7.0,122.0,20.0,239.0,5.0,0,119.0,16.0,8.0,0,279.0,21.0,0,0,7.0,0,127.0,0,13.0,6.0,60.0,42.0,244.0,0,26.0,0,7.0,10990.0,0,0,5.0,22.0,16.0,0,0,0,0,0,0,0,5.0,28.0,0,7.0,0,32.0,70.0,7.0,8581.0,0,6.0,19.0,458.0,0,23.0,22.0,89.0,32.0,198.0,62.0,14.0,5.0,0,102.0,11.0,4.0,234.0,518.0,12.0,0,5.0,0,0,19.0,3.0,0,23.0,4.0,85.0,4.0,16.0,92.0,0,4.0,7.0,0,0,10.0,15.0,65.0,3.0,0,0,425.0,39.0,0,4.0,0,25.0,36.0,13.0,7.0,178.0,0,3604.0,0,14.0,137.0,11.0,0,0,0,5.0,0,0,0,0,12.0,10.0,29.0,0,3.0,0,0,4.0,3.0,0,0,5.0,4.0,0,0,23.0,0,0,44.0,5.0,0,29.0,0,15.0,0,26.0,5.0,7.0,37.0,4.0,8.0,142.0,0,11.0,0,4.0,27.0,182.0,89.0,17.0,0,0,4.0,
Hawaii,0,0,0,0,21.0,295.0,0,86.0,68.0,11.0,9.0,0,36.0,0,0,78.0,313.0,0,0,0,0,0,0,0,0,0,0,0,266.0,0,0,0,0,8.0,0,8.0,0,14.0,0,66.0,0,0,0,0,6.0,60.0,5.0,6.0,0,458.0,0,0,6.0,0,0,5.0,17.0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,56.0,117.0,0,0,26.0,0,0,14.0,6.0,27.0,4.0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,3.0,0,0,4.0,4.0,4.0,192.0,10.0,0,0,0,0,0,81.0,0,23.0,0,0,0,0,22.0,0,0,0,0,5.0,0,4.0,0,0,300.0,0,7.0,5.0,0,0,17.0,126.0,5.0,60.0,0,0,3.0,4.0,38.0,4.0,4.0,0,0,19.0,59.0,37.0,0,0,0,0,0,106.0,0,0,0,10.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,35.0,0,7.0,0,4.0,
Idaho,0,0,0,0,5.0,95.0,0,82.0,29.0,0,0,0,0,0,0,21.0,7.0,0,0,0,0,5.0,0,0,0,0,0,0,13.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.0,9.0,0,14.0,103.0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,111.0,0,0,0,2565.0,319.0,0,0,0,0,10.0,0,11.0,8.0,4.0,14.0,0,5.0,0,0,0,0,0,0,0,9.0,20.0,0,57.0,0,11.0,0,3.0,0,0,0,0,4.0,4.0,376.0,25.0,0,0,0,0,0,488.0,8.0,5.0,0,6.0,0,0,9.0,0,0,6.0,0,5.0,0,0,7.0,0,2102.0,0,7.0,0,5.0,4.0,0,18.0,5.0,181.0,0,0,0,98.0,10.0,0,4.0,0,0,38.0,4.0,176.0,0,0,0,0,0,32.0,0,0,0,15.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,4.0,0,15.0,0,0,0,0,
Illinois,0,4.0,0,0,218.0,14.0,0,27.0,34.0,22.0,52.0,0,230.0,21.0,0,109.0,53.0,0,0,37.0,13.0,0,5.0,251.0,26.0,99.0,61.0,20.0,624.0,319.0,0,45.0,1420.0,116.0,10.0,16.0,27.0,0,4.0,11.0,0,127.0,0,30.0,17.0,120.0,205.0,89.0,0,103.0,0,0,12.0,40.0,31.0,194.0,3790.0,495.0,127.0,305.0,1100.0,27.0,165.0,97.0,14.0,1189.0,153.0,928.0,7.0,0,56.0,54.0,7.0,0,0,16.0,1020.0,522.0,11.0,42.0,158.0,34.0,24.0,43.0,51.0,6.0,5.0,46.0,2.0,63.0,8.0,113.0,150.0,84.0,0,0,0,0,11.0,166.0,0,0,14.0,60.0,4.0,8.0,1049.0,0,8.0,26.0,0,0,20.0,421.0,74.0,3.0,0,0,0,135.0,0,4.0,0,12.0,100.0,6.0,4.0,20.0,0,0,7329.0,22.0,142.0,1451.0,0,0,9.0,66.0,16.0,0,35.0,3.0,20.0,7.0,523.0,4.0,0,0,0,8.0,17.0,39.0,5.0,88.0,35.0,0,9.0,0,17.0,6.0,73.0,98.0,0,113.0,0,0,0,4.0,355.0,7.0,16.0,65.0,61.0,12.0,12.0,22.0,0,31.0,175.0,88.0,277.0,163.0,10.0,3.0,16.0,
Indiana,0,0,0,0,11.0,5.0,0,0,0,5.0,17.0,6.0,42.0,1635.0,0,47.0,13.0,0,4.0,6.0,13.0,0,5.0,48.0,7.0,0,30.0,20.0,106.0,9002.0,0,15.0,39.0,4.0,0,70.0,0,0,0,0,0,0,0,91.0,0,43.0,23.0,33.0,0,19.0,0,0,12.0,0,8.0,5.0,45.0,11.0,0,0,5.0,0,0,15.0,0,16.0,35.0,43.0,3.0,0,8.0,31.0,0,0,0,0,1228.0,105.0,0,11.0,0,7.0,8.0,16.0,7.0,0,0,5.0,0,593.0,0,30.0,184.0,24.0,0,0,0,0,5.0,3.0,0,0,0,12.0,0,8.0,92.0,15.0,0,13.0,0,0,0,30.0,19.0,0,6.0,0,0,26.0,0,0,12.0,12.0,14.0,0,0,7.0,0,11113.0,13.0,22.0,575.0,96.0,0,0,0,0,5.0,0,3.0,0,0,3.0,58.0,0,11.0,0,0,12.0,0,10.0,0,5.0,12.0,5.0,0,23.0,3.0,0,24.0,5.0,0,8.0,46.0,0,0,0,0,0,0,8.0,69.0,12.0,0,0,7.0,63.0,480.0,6.0,30.0,0,0,0,12.0,
Iowa,0,0,0,0,16.0,0,0,16.0,0,0,0,0,48.0,5.0,0,0,13.0,0,0,130.0,0,0,5.0,12.0,0,1032.0,8.0,0,153.0,0,0,0,8.0,136.0,0,0,0,14.0,4.0,0,0,0,0,0,17.0,9.0,0,6.0,0,19.0,0,0,6.0,5.0,0,27.0,78.0,0,0,0,414.0,9.0,5.0,10.0,0,5.0,21.0,2136.0,0,0,0,16.0,0,0,0,0,29.0,32.0,0,8.0,4.0,7.0,0,5.0,0,0,0,57.0,0,0,0,9.0,20.0,396.0,0,0,4.0,6.0,3.0,1075.0,13.0,0,0,0,0,0,66.0,0,240.0,0,0,0,0,30.0,5.0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,126.0,14.0,0,0,0,0,0,10.0,5.0,0,3.0,0,0,0,53.0,0,0,0,4.0,0,0,10.0,0,0,0,0,0,0,17.0,0,600.0,5.0,0,4.0,4.0,0,0,0,88.0,0,0,0,0,0,0,0,0,12.0,4.0,0,15.0,0,20.0,0,0,
Kansas,0,4.0,0,0,5.0,5.0,0,0,0,0,13.0,0,6.0,0,357.0,21.0,7.0,0,0,6.0,0,0,0,18.0,7.0,13.0,8.0,0,80.0,0,0,22.0,0,0,0,0,0,0,4.0,0,0,0,0,4.0,202.0,43.0,5.0,33.0,0,26.0,0,0,0,0,0,11.0,62.0,0,13.0,0,0,0,0,5.0,0,5.0,49.0,22.0,0,0,16.0,8.0,0,0,0,0,5.0,55.0,0,8.0,18.0,7.0,8.0,21.0,0,0,5.0,5.0,0,4.0,0,13.0,14.0,0,0,0,0,0,0,7.0,5555.0,0,0,4.0,0,0,76.0,29.0,0,0,0,0,30.0,15.0,14.0,3.0,0,0,0,4.0,0,0,72.0,0,9.0,0,0,0,0,0,0,7.0,0,0,0,0,0,20.0,0,0,19.0,0,4.0,3.0,12.0,0,0,0,4.0,0,7.0,11772.0,0,0,12.0,0,0,0,156.0,0,5.0,19.0,3.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,4.0,22.0,0,10.0,0,47.0,0,0,
Kentucky,0,0,0,0,27.0,0,0,0,0,0,26.0,6.0,12.0,0,0,21.0,0,0,0,0,13.0,0,0,167.0,13.0,0,0,0,53.0,268.0,0,0,0,4.0,0,1995.0,5.0,0,0,0,0,0,0,9.0,6.0,9.0,19.0,61.0,0,0,0,0,0,0,0,0,6.0,0,0,5.0,0,0,0,0,0,0,0,22.0,0,0,8.0,16.0,0,0,0,0,5.0,252.0,0,8.0,4.0,20.0,16.0,16.0,0,0,0,0,0,7.0,4.0,48.0,41.0,0,0,0,0,0,3.0,0,0,0,0,24.0,0,0,51.0,0,0,0,0,0,0,15.0,9.0,0,0,0,0,0,0,0,6.0,0,27.0,6.0,0,13.0,0,0,0,0,14524.0,5.0,0,0,0,5.0,5.0,0,3.0,3.0,0,3.0,16.0,0,0,3.0,0,0,0,10.0,0,5.0,0,0,0,0,3.0,0,0,9.0,3.0,4.0,13.0,0,0,4.0,0,0,0,0,53.0,16.0,0,0,0,20.0,359.0,3.0,59.0,0,0,0,8.0,
Louisiana,0,0,0,0,11.0,0,0,0,0,0,13.0,6.0,18.0,0,0,5.0,7.0,0,0,0,45.0,0,0,18.0,0,0,0,0,53.0,0,0,963.0,0,0,20.0,8.0,21.0,14.0,12.0,4.0,0,0,0,9.0,29.0,17.0,0,22.0,0,6.0,0,0,0,0,0,0,22.0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,8.0,8.0,0,0,0,3.0,0,119.0,0,8.0,0,0,4.0,11.0,0,0,5.0,5.0,0,0,0,22.0,171.0,0,0,0,0,0,3.0,0,0,0,0,12.0,0,0,51.0,0,0,0,0,0,0,8.0,5.0,0,0,0,0,13.0,0,0,0,0,5.0,0,0,0,0,1802.0,0,7.0,21.0,0,0,6.0,0,0,0,0,5.0,0,0,0,8.0,0,0,0,4.0,0,0,0,0,0,165.0,0,0,203.0,0,0,5.0,14.0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,8.0,0,1066.0,25.0,0,0,0,0,
Maine,0,0,0,0,27.0,0,0,4.0,5.0,132.0,17.0,0,54.0,0,0,5.0,7.0,0,0,0,0,0,0,12.0,0,0,30.0,0,7.0,0,5150.0,0,0,0,0,0,16.0,0,0,4.0,0,0,0,4.0,0,26.0,382.0,6.0,0,6.0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,14.0,0,10.0,7.0,0,23.0,14.0,0,0,0,0,5.0,0,27.0,35.0,14.0,0,11.0,0,0,0,5.0,0,0,26.0,17.0,7.0,0,6.0,0,0,6.0,3.0,0,0,0,4.0,4.0,4.0,0,10.0,0,0,0,7.0,4.0,0,0,51.0,3.0,214.0,0,0,35.0,7.0,0,0,0,14.0,0,4.0,7.0,0,0,0,0,0,0,56.0,0,0,30.0,5.0,15.0,0,0,12.0,3.0,0,152.0,0,23.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,25.0,0,15.0,0,0,0,0,0,0,4.0,0,0,189.0,14.0,0,13.0,0,40.0,0,0,0,0,
Maryland,0,20.0,11.0,15.0,687.0,0,3122.0,8.0,20.0,49.0,204.0,0,188.0,0,0,68.0,27.0,0,32.0,0,6.0,32.0,5.0,1268.0,13.0,7.0,76.0,0,219.0,0,7.0,7.0,0,4.0,0,8.0,345.0,7.0,0,4.0,0,0,0,4.0,6.0,94.0,252.0,671.0,0,19.0,0,0,6.0,0,0,0,202.0,5.0,0,0,5.0,0,0,0,0,0,21.0,0,72.0,0,24.0,70.0,14.0,14.0,0,57.0,19.0,174.0,6.0,88.0,246.0,519.0,56.0,1844.0,333.0,193.0,123.0,0,2.0,7.0,34.0,303.0,164.0,12.0,0,0,0,0,44.0,3.0,0,459.0,43.0,129.0,808.0,24.0,357.0,0,0,7.0,62.0,0,0,8.0,88.0,9.0,12.0,267.0,0,61.0,112.0,12.0,0,172.0,2003.0,19.0,116.0,46.0,0,1502.0,0,0,11.0,11.0,22.0,0,0,15.0,0,0,0,6.0,16.0,0,33.0,8.0,31.0,5.0,4.0,12.0,0,0,118.0,15.0,8.0,30.0,0,0,0,12.0,5.0,0,0,50.0,0,453.0,97.0,26.0,0,68.0,32.0,0,8.0,8.0,0,33.0,0,12.0,63.0,24.0,188.0,123.0,0,753.0,4.0,
Massachusetts,0,0,0,4.0,208.0,5.0,0,4.0,39.0,1997.0,178.0,0,563.0,0,0,88.0,120.0,0,48.0,0,0,5.0,5.0,377.0,0,7.0,91.0,0,325.0,0,320.0,0,0,4.0,0,8.0,0,0,0,4.0,0,0,0,0,12.0,103.0,1920.0,166.0,0,52.0,0,7.0,0,5.0,0,0,207.0,0,0,0,5.0,0,0,0,0,0,14.0,0,45.0,0,40.0,16.0,112.0,0,0,19.0,15.0,211.0,0,207.0,557.0,20.0,44.0,273.0,3.0,0,5.0,5.0,0,4.0,45.0,264.0,34.0,0,6.0,5.0,0,0,22.0,0,7.0,0,14.0,48.0,29.0,16.0,331.0,0,0,0,7.0,0,30.0,8.0,305.0,18.0,2792.0,3.0,0,327.0,14.0,0,0,0,159.0,0,7.0,13.0,5.0,0,0,0,11.0,5.0,1129.0,0,0,10.0,0,5222.0,0,0,24.0,10.0,29.0,608.0,3.0,372.0,8.0,20.0,0,10.0,14.0,5.0,0,5.0,0,0,0,0,5.0,19.0,0,282.0,0,0,0,0,0,7.0,11.0,4.0,8.0,4.0,12.0,2081.0,5284.0,0,76.0,15.0,351.0,71.0,0,0,0,
Michigan,0,0,0,0,160.0,0,3122.0,0,10.0,5.0,22.0,6.0,48.0,42.0,0,31.0,7.0,0,0,0,6.0,5.0,5.0,90.0,0,0,38.0,0,106.0,5.0,0,22.0,31.0,17.0,0,31.0,0,0,0,4.0,0,0,0,1414.0,0,68.0,70.0,11.0,0,26.0,0,0,0,5.0,137.0,22.0,168.0,43.0,20.0,10.0,5.0,0,19.0,5.0,21.0,44.0,42.0,65.0,0,15.0,40.0,31.0,0,0,0,9.0,208.0,73.0,0,23.0,31.0,0,12.0,32.0,10.0,0,0,0,0,4.0,0,30.0,171.0,36.0,0,5.0,0,6.0,14.0,7.0,0,0,11.0,28.0,0,0,138.0,0,4.0,17086.0,7.0,4.0,30.0,0,74.0,3.0,0,0,0,26.0,0,0,0,37.0,32.0,0,0,0,0,1201.0,13.0,7.0,5.0,15954.0,0,0,0,36.0,11.0,0,0,6.0,12.0,17.0,193.0,0,3.0,0,0,0,7.0,10.0,0,171.0,24.0,5.0,0,0,0,0,54.0,5.0,0,29.0,4.0,0,9.0,4.0,9.0,7.0,0,37.0,46.0,4.0,0,0,0,24.0,81.0,27.0,79.0,44.0,10.0,0,27.0,
Minnesota,0,4.0,0,0,59.0,36.0,0,93.0,34.0,0,17.0,0,12.0,0,0,73.0,13.0,0,0,229.0,0,0,0,24.0,0,441.0,30.0,20.0,193.0,5.0,0,0,0,4815.0,10.0,0,5.0,0,0,4.0,0,0,0,0,17.0,77.0,23.0,6.0,0,58.0,0,0,6.0,2616.0,145.0,1270.0,4138.0,457.0,114.0,52.0,124.0,2935.0,358.0,2753.0,932.0,66.0,77.0,151.0,0,0,16.0,8.0,0,0,200.0,6.0,82.0,60.0,0,23.0,48.0,7.0,0,11.0,3.0,3.0,0,385.0,0,4.0,4.0,26.0,55.0,336.0,0,0,0,0,8.0,160.0,7.0,0,4.0,4.0,0,24.0,188.0,0,8.0,7.0,0,0,10.0,15.0,74.0,0,0,3.0,0,31.0,0,0,0,0,9.0,0,0,0,0,601.0,9.0,22.0,11.0,11.0,7.0,0,4.0,20.0,27.0,0,5.0,0,16.0,14.0,111.0,16.0,0,0,15.0,16.0,17.0,10.0,5.0,0,24.0,0,28.0,0,3.0,0,34.0,5.0,0,13.0,0,0,0,0,4597.0,0,0,37.0,8.0,0,0,22.0,0,0,22.0,3.0,69.0,3.0,7.0,3.0,8.0,
Mississippi,0,0,0,0,11.0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,1058.0,0,0,6.0,0,7.0,8.0,0,13.0,0,0,9322.0,0,0,0,0,11.0,0,0,0,0,0,0,0,6.0,17.0,0,33.0,0,0,0,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,64.0,0,8.0,0,14.0,4.0,5.0,0,0,0,0,0,4.0,0,4.0,2285.0,0,0,0,0,0,0,0,0,0,4.0,12.0,0,8.0,20.0,0,0,0,0,0,0,8.0,5.0,0,0,6.0,0,0,0,0,0,0,5.0,6.0,0,0,0,1201.0,0,14.0,26.0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,2645.0,0,0,5.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,109.0,25.0,0,0,0,0,
Missouri,0,0,8.0,0,64.0,14.0,0,19.0,24.0,0,35.0,0,18.0,0,130.0,16.0,20.0,0,0,0,19.0,5.0,0,36.0,0,26.0,8.0,0,126.0,28.0,0,15.0,0,8.0,10.0,8.0,32.0,7.0,24.0,11.0,0,127.0,0,4.0,289.0,60.0,14.0,55.0,0,45.0,0,0,0,5.0,0,22.0,73.0,16.0,0,0,0,0,10.0,0,0,16.0,70.0,43.0,0,0,64.0,39.0,0,0,13.0,3.0,19.0,206.0,6.0,15.0,35.0,14.0,12.0,16.0,3.0,0,0,0,0,19.0,0,26.0,164.0,24.0,0,0,0,0,5.0,10.0,113.0,0,4.0,12.0,0,0,642.0,15.0,0,0,0,0,41.0,2037.0,28.0,0,0,0,0,17.0,0,0,0,12.0,14.0,0,0,0,0,901.0,39.0,14.0,0,11.0,0,0,0,25.0,5.0,0,579.0,0,0,0,66.0,12.0,3.0,0,4.0,8.0,7.0,108.0,0,5.0,4.0,0,5.0,0,549.0,0,107.0,628.0,49.0,8.0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,63.0,42.0,69.0,17.0,17.0,3.0,4.0,
Montana,0,0,0,0,5.0,41.0,0,27.0,0,0,0,0,12.0,0,6.0,10.0,0,0,0,6.0,0,0,5.0,0,0,0,0,0,20.0,0,0,0,0,4.0,0,0,5.0,0,0,0,0,0,0,0,0,77.0,14.0,0,0,58.0,0,0,0,0,0,5.0,0,0,0,0,5.0,0,0,0,0,0,90.0,0,0,0,80.0,16.0,0,0,0,0,0,0,0,4.0,0,0,0,5.0,0,0,0,0,0,0,4.0,4.0,20.0,0,17.0,0,4.0,0,3.0,0,0,0,0,0,0,24.0,20.0,0,0,0,0,0,20.0,8.0,5.0,0,6.0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,4.0,10.0,82.0,0,0,0,12.0,7.0,0,4.0,0,0,4.0,0,46.0,10.0,0,0,0,0,9.0,0,0,0,5.0,0,0,8.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,5.0,0,7.0,0,0,
Nebraska,0,0,0,0,16.0,9.0,0,4.0,0,0,0,0,0,0,6.0,21.0,0,0,0,56.0,0,0,0,12.0,0,408.0,15.0,0,40.0,0,0,7.0,0,50.0,0,8.0,0,0,0,4.0,0,0,0,4.0,12.0,9.0,5.0,0,0,19.0,0,0,0,0,0,0,34.0,0,0,0,0,0,5.0,0,7.0,5.0,251.0,22.0,0,0,24.0,8.0,0,3.0,0,0,5.0,9.0,0,11.0,9.0,0,4.0,16.0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,3.0,33.0,0,0,4.0,0,0,31.0,0,2419.0,0,0,0,10.0,8.0,0,0,0,3.0,0,0,0,0,0,0,9.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,41.0,0,0,0,0,0,0,59.0,0,0,0,0,0,0,24.0,0,10.0,0,0,8.0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,18.0,6.0,15.0,3.0,138.0,0,0,
Nevada,0,0,0,0,11.0,27.0,0,0,49.0,5.0,0,0,0,0,0,177.0,107.0,0,0,19.0,0,0,0,0,0,7.0,0,0,193.0,0,0,0,8.0,0,0,8.0,0,0,4.0,29.0,0,0,0,0,0,385.0,9.0,22.0,0,168.0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,7.0,0,28.0,22.0,0,0,256.0,218.0,7.0,3.0,0,0,10.0,0,90.0,15.0,4.0,14.0,4.0,16.0,0,3.0,0,15.0,0,4.0,8.0,4.0,75.0,84.0,0,0,4.0,0,0,7.0,0,0,0,0,0,136.0,20.0,15.0,4.0,0,0,0,173.0,15.0,9.0,0,0,0,0,9.0,0,0,6.0,0,5.0,0,0,0,0,901.0,0,7.0,5.0,5.0,0,6.0,18.0,10.0,38.0,0,0,0,47.0,27.0,4.0,0,0,0,15.0,31.0,17.0,10.0,0,5.0,4.0,0,37.0,0,3.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,11.0,0,0,4.0,6.0,15.0,0,0,0,4.0,
New Hampshire,0,0,0,0,59.0,0,0,19.0,0,247.0,17.0,0,67.0,0,0,16.0,13.0,0,8.0,0,0,0,5.0,48.0,0,7.0,8.0,10.0,7.0,0,285.0,0,0,0,0,0,5.0,0,0,0,0,0,0,4.0,0,77.0,513.0,22.0,0,6.0,0,0,0,0,0,0,11.0,5.0,0,0,0,0,0,0,0,0,35.0,0,7.0,0,8.0,8.0,49.0,3.0,0,3.0,5.0,5.0,0,42.0,88.0,7.0,12.0,75.0,0,0,5.0,0,0,0,15.0,35.0,20.0,0,0,0,0,0,16.0,0,0,0,4.0,0,0,16.0,15.0,0,0,0,3.0,0,30.0,0,42.0,18.0,293.0,0,0,35.0,0,0,0,0,73.0,0,4.0,0,10.0,300.0,0,0,0,0,75.0,0,0,41.0,0,10.0,0,0,24.0,0,16.0,115.0,0,36.0,11.0,0,0,0,5.0,0,0,0,0,0,3.0,0,0,5.0,0,13.0,0,0,0,4.0,5.0,0,5.0,0,4.0,4.0,0,345.0,27.0,0,22.0,0,30.0,0,0,0,0,
New Jersey,0,35.0,4.0,11.0,1001.0,5.0,0,8.0,20.0,1322.0,382.0,6.0,327.0,0,0,73.0,60.0,0,1266.0,6.0,13.0,11.0,15.0,765.0,20.0,7.0,190.0,20.0,305.0,5.0,42.0,7.0,0,0,0,16.0,37.0,0,0,0,0,0,0,4.0,0,51.0,834.0,443.0,0,45.0,0,0,0,0,0,0,331.0,0,0,0,0,0,5.0,0,0,5.0,28.0,22.0,298.0,0,8.0,31.0,133.0,0,0,69.0,15.0,247.0,0,199.0,1610.0,198.0,24.0,1377.0,243.0,114.0,39.0,0,8.0,0,431.0,247.0,102.0,0,0,0,0,0,22.0,0,7.0,38.0,22.0,109.0,180.0,32.0,372.0,0,0,0,10.0,4.0,20.0,0,134.0,9.0,116.0,417.0,0,175.0,1885.0,8.0,6.0,12.0,1749.0,6.0,18.0,0,52.0,901.0,0,7.0,5.0,0,86.0,0,0,20.0,0,10.0,0,8.0,27.0,0,62.0,25.0,8.0,5.0,0,0,0,29.0,1106.0,15.0,0,335.0,0,0,0,8675.0,0,0,0,151.0,4.0,453.0,26.0,17.0,0,27.0,32.0,0,15.0,0,12.0,161.0,7.0,8.0,58.0,27.0,331.0,589.0,0,646.0,4.0,
New Mexico,0,0,0,0,11.0,23.0,0,12.0,34.0,0,0,0,18.0,0,6.0,31.0,13.0,4.0,0,6.0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,14.0,0,0,289.0,0,0,0,12.0,51.0,9.0,17.0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,7.0,0,0,0,24.0,47.0,0,0,0,0,5.0,14.0,11.0,8.0,0,0,0,5.0,0,0,0,0,0,0,4.0,9.0,14.0,12.0,0,0,0,0,3.0,0,0,0,0,0,0,8.0,46.0,161.0,0,0,0,0,51.0,0,5.0,3.0,0,0,0,26.0,0,0,223.0,0,9.0,0,0,0,0,300.0,0,14.0,0,0,0,1791.0,0,10.0,49.0,0,0,0,12.0,7.0,8.0,4.0,0,0,8.0,12.0,0,20.0,0,0,0,0,14.0,23.0,0,0,0,9.0,0,4.0,0,0,0,0,0,0,5.0,0,0,0,0,6.0,0,0,0,3.0,20.0,0,0,0,4.0,
